ID,Title,"Report Year",Status,"Year Adopted","Date of Last Event",Level,State,County,County,Municipality,Type,Content,Citations
3145,"City of Waller (Harris County)",2025,"In effect",2010,2010,Local,TX,"Harris County",48201,"City of Waller",Wind,"The City of Waller allows small wind energy systems but only as an accessory use on property owned by the owner of the wind energy system.","Waller, Tex., Ordinance No. 481 § 4, (Oct. 18, 2010), as codified at Waller, Tex., Code §§ 14-400 to 14-402 (current as of Feb. 21, 2017), https://library.municode.com/tx/waller/codes/code_of_ordinances?nodeId=CD_ORD_CH14BUBURE_ARTVISMWIENSY_S14-400DE."
3146,"City of Waller (Waller County)",2025,"In effect",2010,2010,Local,TX,"Waller County",48473,"City of Waller",Wind,"The City of Waller allows small wind energy systems but only as an accessory use on property owned by the owner of the wind energy system.","WALLER, TEX., ORDINANCE NO. 481 § 4, (Oct. 18, 2010), as codified at WALLER, TEX., CODE §§ 14-400 TO 14-402 (current as of Feb. 21, 2017), https://library.municode.com/tx/waller/codes/code_of_ordinances?nodeId=CD_ORD_CH14BUBURE_ARTVISMWIENSY_S14-400DE."
3147,"City of Waltham (Middlesex County)",2025,"In effect",2022,2022,Local,MA,"Middlesex County",25017,"City of Waltham",Solar,"The City of Waltham’s zoning code effectively limited large-scale solar energy facilities to industrial zones. A developer who owned land in Waltham and a neighboring town sought permission from the city building inspector to build an access road on the land the developer owned in Waltham to a proposed 1-MW solar facility in a neighboring town. The building inspector denied permission on the basis of local zoning restrictions. On June 4, 2022, the Supreme Judicial Court struck down the restrictions, finding that “[a]n outright ban of large-scale solar energy systems in all but one to two percent of a municipality’s land area . . . restricts rather than promotes the legislative goal of promoting solar energy” and that, “in the absence of a reasonable basis grounded in public health, safety, or welfare, such a prohibition is impermissible.”  Note that this is included as a pre-March 2022 development because the relevant restriction was in place before March 2022.","Colin A. Young, State’s High Court Rules Waltham’s Restrictions on Solar Power Are ‘Impermissible’, MetroWest Daily News, June 6, 2022, https://www.metrowestdailynews.com/story/news/2022/06/06/mass-high-court-rejects-waltham-restrictions-solar-power-systems/7500915001; Tracer Lane II Reality, LLC vs. City of Waltham., 489 Mass. 775, June 4, 2022, http://masscases.com/cases/sjc/489/489mass775.html."
3148,"City of Warwick (Kent County)",2025,"In effect",2022,2022,Local,RI,"Kent County",44003,"City of Warwick",Solar,"In November 2021, the City of Warwick, Rhode Island adopted a 6-month moratorium on ground-mounted solar projects. In March 2022, the city adopted a new ordinance that prohibits large-scale solar energy projects and limits height to 10 feet.","Bob Borkowski, Warwick OKs New Solar Regulations, Warwick Post, Mar. 24, 2022, https://warwickpost.com/warwick-oks-new-solar-regulations/."
3149,"City of Weatherford (Parker County)",2025,"In effect",2022,2022,Local,TX,"Parker County",48367,"City of Weatherford",Wind,"The city allows wind turbines only as an accessory use and limits turbine max blade tip height to 66 feet.","Weatherford, Tex., Code § 12-5-106 (current as of Sept. 15, 2022), https://library.municode.com/tx/weatherford/codes/code_of_ordinances?nodeId=COOR_TITXIIZOOR_CH5SUUSRE_S12-5-105WIENFA."
3150,"City of Yukon (Canadian County)",2025,"In effect",1995,1995,Local,OK,"Canadian County",40017,"City of Yukon",Wind,"A 1995 ordinance limits the height of wind turbines abutting residential districts to 100 feet and limits rotor length to 36 feet in diameter.","Yukon, Okla., Code § 204-173 (1995), https://library.municode.com/ok/yukon/codes/code_of_ordinances?nodeId=PTIICOOR_CH204BUBURE_ARTVIIIWIENCOSYWE_S204-173STRURE (last visited May 24, 2023)."
3151,"Clark County",2025,"In effect",2024,2024,Local,IN,"Clark County",18019,,Solar,"In November 2024, the Clark County Commission issued new requirements for solar projects. The County has imposed a cap of 4,000 acres of “fenced area” that can be devoted to solar in the county. The county increased setback requirements for solar arrays, inverters, and power substations from the nearest non-participation residential dwellings to 650 feet for solar arrays, 650 feet for inverters, and 1,250 feet for power substations.","New regulations for future solar farms in Clark County, Indiana, WHAS11, Oct. 2024, https://www.whas11.com/article/news/local/indiana/clark-county-indiana-new-solar-farm-regulations-passed/417-abdf6d43-9de5-4328-a082-4e15e61f65dd; Clark County, Ind., Unified Development Ordinance (amended Nov. 21, 2024), https://www.co.clark.in.us/images/2024/plancommission/Clark-County-UDO.pdf."
3152,"Clarke County",2025,"In effect",2024,2024,Local,VA,"Clarke County",51043,,Solar,"As of January 2024, Clarke County’s zoning ordinance requires that all solar energy facilities, except for those delivering behind-the-meter power, be located within 1 mile of two specified electrical substations in the county. At the time of adoption, one solar project had already been built adjacent to one of the substations, and another project had already been proposed adjacent to the other substation.","Board of Supervisors, Clarke County, Virginia, Zoning Ordinance Text Amendment TA-23-04 (Jan. 16, 2024), https://www.clarkecounty.gov/home/showpublisheddocument/11434/638410841473230000; Mickey Powell, Zoning change effectively nixes solar farm development in Clarke County, WINCHESTER STAR, Jan. 18, 2024, https://www.winchesterstar.com/winchester_star/zoning-change-effectively-nixes-solar-farm-development-in-clarke-county/article_23907849-5771-5cd8-a9a8-1f19741a4581.html/."
3153,"Claybanks Township (Oceana County)",2025,"In effect",2019,2019,Local,MI,"Oceana County",26127,"Claybanks Township",Solar|Wind,"Claybanks Township’s 2019 zoning ordinance establishes the following restrictions for wind turbines: setbacks of 1,500 feet from the nearest inhabited structure on a participating property and 3,000 feet from the nearest non-participating property line; a turbine max blade tip height limitation of 500 feet; and a noise limit of 40 dBa at non-participating properties. The ordinance limits solar farms to marginal land that would not be used as cropland in Agricultural Preservation and Rural Preservation Districts.","Claybanks Township, Michigan, Zoning Ordinance (Aug. 2019), https://www.claybankstownship.org/wp-content/uploads/2019/08/Claybanks-Twp.-Ordinace-Book.pdf."
3154,"Clermont County",2025,"In effect",2023,2023,Local,OH,"Clermont County",39025,"Batavia, Jackson, Monroe, Stonelick, Tate, Washington, and Williamsburg Townships",Solar|Wind,"In June 2023, the Clermont County Commissioners unanimously voted to prohibit large solar and wind projects in seven townships (Batavia, Jackson, Monroe, Stonelick, Tate, Washington, and Williamsburg). Two other townships (Goshen and Ohio) likewise voted to ban large wind and solar projects but did so too late to be addressed at that meeting. After a two-hour long hearing, the three county commissioners stated “that their opinions on the potential economic benefit of solar didn’t matter because they would vote the way their residents wanted them to: in favor of the ban.”","Paula Christian, Clermont County bans large solar and wind farms in seven townships: ‘We like out county the way it is’, WCPO-TV, June 21, 2023, https://www.wcpo.com/news/local-news/i-team/clermont-bans-large-solar-and-wind-farms-in-seven-townships-we-like-our-county-the-way-it-is."
3155,"Clinton County",2025,"In effect",2024,2024,Local,IA,"Clinton County",19045,,Wind,"On September 24, 2024, Clinton County’s Planning and Zoning Commission issued a three-month moratorium on commercial wind farm applications as they revised the county’s 2008 wind ordinance. This moratorium was extended in December 2024 and will run through June 2025. A community opposition group, Clinton & Jackson County Iowa Residents Against Wind Turbines, has collected over 700 signatures for a petition against the project and has been active in public hearings regarding the proposed ordinance. [Note: As of January 2025, the proposed ordinance from the County Commission leaves little land available for commercial wind. The required setbacks for wind would be 5 miles in either direction from byway roads, 1,500 feet from property lines, and two miles from any incorporated city. A proposed wind project from NextEra Energy, which would have a capacity of 250 MW, would most likely be held back if the county supervisors approved the commission’s updated ordinance.]","Jenna Blount, County Expands Wind Turbine Moratorium to Related Equipment, Clinton Herald, May 2, 2025, https://www.clintonherald.com/news/county-expands-wind-turbine-moratorium-to-related-equipment/article_efee740e-90b8-11ef-8e2e-0fa3d5fd3294.html; Jenna Blount, Wind Turbine Moratorium Extensions on Clinton County Supervisors’ Agenda, Clinton Herald, May 3, 2025, https://www.clintonherald.com/news/local_news/wind-turbine-moratorium-extensions-on-clinton-county-supervisors-agenda/article_2aa7a806-b821-11ef-817e-1baff0db5078.html; Clinton County, Iowa Residents for Stronger Wind Ordinances, Change.org, https://www.change.org/p/clinton-county-iowa-residents-for-stronger-wind-ordinances."
3156,"Clinton County",2025,Expired,2019,2019,Local,IN,"Clinton County",18023,,Wind,"Clinton County upheld a moratorium on wind farms in September 2019.","Emilie Syberg, Clinton County commissioners keep wind farm moratorium in place, WBAA, Sept. 16, 2019, https://www.wbaa.org/business-economy-and-consumer-affairs/2019-09-16/clinton-county-commissioners-keep-wind-farm-moratorium-in-place."
3157,"Clinton County",2025,"In effect",2024,2024,Local,MI,"Clinton County",26037,,Solar|Wind,"In May 2023, the Clinton County Board of Commissioners established a 1-year moratorium on wind power plants and large-scale solar energy facilities. In April 2024, the Clinton County Board passed multiple amendments restricting utility-scale wind energy, including: a minimum setback from non-participating properties of 1,600 feet or 4 times turbine height, whichever is greater; a maximum turbine height of 450 feet; no shadow flicker on non-participating properties; and a noise limit of 45 dBA.","Clinton County, Michigan, Ordinance No. OR 187-23 (May 30, 2023), https://www.clinton-county.org/DocumentCenter/View/8432/Ordinance-Resolution_OR-187-23-LA-One-Year-Moratorium---Utility-Scale-Solar--Wind-Projects?bidId=; Wells Foster & Josh Sanchez, Clinton County greenlights study into Eagle megasite, WLNS, May 30, 2023, https://www.wlns.com/news/clinton-county-greenlights-study-into-eagle-megasite/; Clinton County, Michigan, Ordinance No. OR 203-24 (April 23, 2024), https://www.clinton-county.org/DocumentCenter/View/8902/OR-203-24-Utility-Scale-Wind-Ordinance-Adopted-by-BOC-4-23-2024."
3158,"Clinton County",2025,"In effect",2016,2019,Local,MO,"Clinton County",29049,,Wind,"In 2016, Clinton County commissioners passed a moratorium on wind development. According to the latest version of the Clinton County Zoning and Subdivision Order, last amended July 19, 2019, “Clinton County prohibits Commercial Wind Energy Conversion Systems.”","Brett Adkison, Commissioners approve wind energy moratorium, The Clinton County Leader, Feb. 4, 2016, https://www.wind-watch.org/news/2016/02/04/commissioners-approve-wind-energy-moratorium/; Clinton County, Mo., Zoning and Subdivision Order (amended July 19, 2019) § 13.11, https://clintoncomo.org/wp-content/uploads/2019/09/Clinton-Co-Zoning-Order-Amended-07.19.2019.pdf."
3159,"Cohoctah Township (Livingston County)",2025,Expired,2021,2021,Local,MI,"Livingston County",26093,"Cohoctah Township",Solar,"In December 2021, Cohoctah Township adopted a year-long moratorium on utility-scale solar. The township adopted another year-long utility-scale solar moratorium in February 2023.","Livingston County Department of Planning, Memorandum re: Amendments to the Zoning Ordinance 27.01 (Aug. 8, 2023), https://milivcounty.gov/wp-content/uploads/August-PC-Packet.pdf."
3160,"Columbiana County",2025,"In effect",2023,2023,Local,OH,"Columbiana County",39029,,Solar|Wind,"On March 2, 2023, the Columbiana County Board of Commissioners approved a resolution pursuant to S.B. 52 prohibiting large wind and solar farms in the unincorporated areas of four townships. In May 2023, the Board ultimately approved a ban on the construction of large solar facilities and large wind farms in an additional seven townships in the county. In August 2023, the seven remaining townships in the county moved to ban large solar facilities and large wind farms. As of October 18, the county had approved bans on large wind and solar projects in all eighteen townships in the county.","Mary Ann Greier, Ban Ok’d on large solar, wind facilities in more Columbiana County townships, Salem News, Aug. 28, 2023, https://www.salemnews.net/news/local-news/2023/05/ban-okd-on-large-solar-wind-facilities-in-more-columbiana-county-townships/; Stephanie Elverd, Hearing set for wind, solar bans in remaining Columbiana Countytownships, Salem News, Aug. 31, 2023, https://www.salemnews.net/news/local-news/2023/08/hearing-set-for-wind-solar-bans-in-remaining-columbiana-countytownships/; Mary Ann Greier, Four more townships added to list banning solar, wind farms, Morning Journal, Aug. 24, 2023, https://www.morningjournalnews.com/news/local-news/2023/08/three-more-townships-added-to-list-banning-solar-wind-farms/; Gerry Ricciutti, Ban in place for solar, wind farms in 18 local townships, WKBN, Oct. 18, 2023, https://www.wkbn.com/news/local-news/center-twp-news/ban-in-place-for-solar-wind-farms-in-18-local-townships/."
3161,"Conway Township (Livingston County)",2025,Expired,2023,2023,Local,MI,"Livingston County",26093,"Conway Township",Solar|Wind,"In April 2023, Conway Township adopted a year-long moratorium on commercial wind and solar projects.","Conway Township, Michigan, Ordinance No. 2023-01 (Apr. 18, 2023), https://www.conwaymi.gov/vnews/display.v/ART/6447ffd84bf8b."
3162,"Coolidge City (Pinal County)",2025,"In effect",2022,2022,Local,AZ,"Pinal County",04021,"Coolidge City",Solar,"In May 2022, the Coolidge City Council approved a zoning amendment removing solar farms from approved uses in agricultural districts. At the same time, the council voted to create an industrial solar farm overlay zone to identify areas in the city to develop solar farms.","Coolidge Council Restricts New Solar, AZ Bex, May 14, 2022, https://azbex.com/local-news/coolidge-council-restricts-new-solar/."
3163,"Craven County",2025,"In effect",2021,2021,Local,NC,"Craven County",37049,,Wind,"A county wind ordinance last modified in July 2021 requires that wind turbines be set back 1 mile from property lines and provides that shadow flicker on non-participating properties is not permitted. The ordinance further limits sound to 35 dBa at the property line.","Craven County, N.C., Code of Ordinances §§ 41-268, 41-269 (last updated July 6, 2021), https://library.municode.com/nc/craven_county/codes/code_of_ordinances?nodeId=CD_ORD_CH41DERE_ARTIVTASTOR_S41-269WIENFARE."
3164,"Crawford County",2025,"In effect",2022,2022,Local,OH,"Crawford County",39033,,Wind,"In May 2022, the Crawford County Board of Commissioners passed a resolution pursuant to S.B. 52 creating a 10-year ban on wind development that effectively prevents construction of the proposed 300-MW Honey Creek Wind Project. The developer of the project, Apex Clean Energy, collected enough signatures for a referendum to reverse the commissioners’ decision. However, in November 2022, the referendum upheld the restrictions.","Jeffrey Tomich, Two Great Lakes Counties Reject Wind Development, E&E News Energy Wire, Nov. 14, 2022, https://subscriber.politicopro.com/article/eenews/2022/11/14/two-great-lakes-counties-reject-wind-development-00066593; Peter Krouse, Crawford County voters will likely decide if wind turbine plans can proceed, Cleveland.com, Aug. 5, 2022, https://www.cleveland.com/news/2022/08/wind-farm-controversy-in-rural-ohio-crawford-county-voters-will-likely-decide-if-wind-turbine-plans-can-proceed.html; see also Jake Zuckerman, Ten Ohio counties ban wind, solar projects under new state law, Ohio Capital Journal, Aug. 23, 2022, https://ohiocapitaljournal.com/2022/08/23/nine-ohio-counties-ban-wind-solar-projects-under-new-state-law/."
3165,"Crescent City (Del Norte County)",2025,"In effect",2010,2010,Local,CA,"Del Norte County",06015,"Crescent City",Wind,"Small wind energy conversion systems are not permitted on vacant lots; on a site listed in the National Register of Historic Places or the California Register of Historic Resources; where the system would be visible from any coastal scenic resource area; within 100 feet of any sensitive or endangered habitat designated by the California Department of Fish and Game without written permission from that agency; or within any public right-of-way, easement, path of travel, or interior traffic circulation system.","Crescent City, Cal., Municipal Code § 17.48.040(D) (current through November 2022), https://library.qcode.us/lib/crescent_city_ca/pub/municipal_code/item/title_17-chapter_17_48-17_48_040."
3166,"Crook County",2025,"In effect",2012,2012,Local,WY,"Crook County",56011,,Wind,"A 2012 resolution provides that no wind energy project shall be approved that is set back less than 0.5 miles from the limits of the nearest city or town or 5.5 times tower height or 1 mile from the nearest residential dwelling. It further limits noise to 40 dBa at the property line.","Crook County, Wyo., Wind Energy Facility Resolution § 7 (June 6, 2012), https://cms2.revize.com/revize/crookscountynew/elected_officials/commissioners/docs/RulesRegsCC/Crook_County_Wind_Energy_Facility_Resolution.pdf."
3167,"Culpeper County",2025,"In effect",2023,2023,Local,VA,"Culpeper County",51047,,Solar,"On February 7, 2023, the Culpeper County Board of Supervisors voted to limit the size of future solar energy projects to 300 acres per project and to limit the total acreage for utility-scale solar to 2,400 acres.","Allison Brophy Champion, Culpeper County limits solar energy projects to 300 acres, Culpeper Star Exponent, Feb. 8, 2023, https://starexponent.com/business/culpeper-county-limits-solar-energy-projects-to-300-acres/article_47edbcc6-a7b5-11ed-93de-eb9404b65ee4.html; Culpeper County, Va., Ordinance Adopting Article 17-7 § 17-7-4.1 (Feb. 7, 2023), https://go.boarddocs.com/va/ccva/Board.nsf/files/CPGTE5725CB3/$file/02072023%20Solar%20Ordinance.pdf."
3168,"Currituck County",2025,"In effect",2017,2022,Local,NC,"Currituck County",37053,,Solar|Wind,"Currituck County adopted a moratorium on new solar farms in January 2017, which remained in place until January 2019. The county’s March 2022 Unified Development Ordinance does not allow “solar arrays” or “large” wind energy facilities in any zoning district.","Dee Langston, Currituck Ends Ban on New Solar Farms, Outer Banks Voice, Jan. 31, 2019, https://coastalreview.org/2019/01/currituck-ends-ban-on-new-solar-farms/Currituck County, N.C., Unified Development Ordinance, Table 4.1.1.A at PDF page 187 (March 2022), https://currituckcountync.gov/wp-content/uploads/udo-22mar22.pdf."
3169,"Dakota County",2025,"In effect",2021,2021,Local,NE,"Dakota County",31043,,Wind,"On July 26, 2021, Dakota County amended its zoning regulations to require that commercial wind turbines be set back 2 miles from neighboring dwelling units (up from 2,700 feet) and 2 miles from wetlands and other conservation lands (up from 600 feet).","Dakota County, Neb., Resolution 21C-024 § 900.2.205 (July 26, 2021), https://dakotacountyne.org/pdfs/planning_zoning/21C-024%20Planning%20Zoning%20Amended%20Regulations%2026Jul21.pdf."
3170,"Dallas County",2025,"In effect",2022,2022,Local,IA,"Dallas County",19049,,Wind,"The county zoning ordinance provides that noise from wind turbines cannot exceed 30 dBA for any period of time when measured from any dwelling, school, hospital, church, or public library existing at the time of approval. The ordinance further requires that turbines be set back at least 2,640 feet from property lines, residences, and other structures.","Dallas County, Iowa, Code of Ordinances § 45.39 (last updated Dec. 27, 2022), https://www.dallascountyiowa.gov/home/showpublisheddocument/29083/638200046162170000."
3171,"Dawson County",2025,"In effect",2022,2022,Local,NE,"Dawson County",31047,,Wind,"In November 2022, Dawson County adopted a 1-year moratorium on wind farm applications. In May 2023, the Dawson County Board of Commissioners adopted amendments to its wind regulations that impose setbacks of 3 miles from non-participating property lines, participating dwellings, road rights-of-way, and public conservation lands. The regulations also limit noise to 40 dBa at the nearest dwelling.","Dawson County Board of Commissioners Approve Setbacks and Regulations for Wind Energy, KRVN News, May 15, 2023, https://ruralradio.com/kbear/news/dawson-county-board-of-commissioners-approve-setbacks-and-regulations-for-wind-energy/; Commissioners Approve Wind Energy Amendments, Gothenburg Leader, June 7, 2023, https://www.gothenburgleader.com/news/commissioners-approve-wind-energy-amendments/article_51112164-0550-11ee-8a82-df6d38670380.html."
3172,"DeKalb County",2025,"In effect",2019,2019,Local,AL,"DeKalb County",01049,,Wind,"In DeKalb County, wind turbines must be set back 2,500 feet from property lines and noise must not exceed 40 decibels. In addition, any wind energy system or turbine “that does not operate continuously for 365 consecutive days may be deemed abandoned and shall be removed by the operator of the system.”","Ala. Code § 45-25-260.05 (2019), https://casetext.com/statute/code-of-alabama/title-45-local-laws/chapter-25-dekalb-county/article-26-zoning-and-planning/part-1-wind-energy-conversion-systems/section-45-25-26005-certification-safety-and-setback-requirements; Ala. Code § 45-25-260.06 (2019), https://casetext.com/statute/code-of-alabama/title-45-local-laws/chapter-25-dekalb-county/article-26-zoning-and-planning/part-1-wind-energy-conversion-systems/section-45-25-26006-abandonment-and-removal-of-system-or-tower."
3173,"DeKalb County",2025,Expired,2018,2023,Local,IL,"DeKalb County",17037,,Wind,"In 2018, DeKalb County passed an ordinance that requires wind turbines to be set back from property lines by a distance of 6 times turbine height and 3 miles from any municipality. The ordinance also requires that zero shadow flicker occur beyond property lines and that wind projects not increase background noise levels by more than 5 dBA. These restrictions were removed to achieve compliance with Public Act 102-1123 (2023).","DeKalb County, Ill., Code § 53-E-12.B (updated 2023), https://dekalbcounty.org/wp-content/uploads/2020/10/co_code_Chapter_53___ZONING.pdf; Susan Stephens, DeKalb County Approves Tough Wind Ordinance, Northern Public Radio, Nov. 22, 2018, https://www.northernpublicradio.org/illinois/2018-11-22/dekalb-county-approves-tough-wind-ordinance; DeKalb County, Ill., Ordinance 2018-50, https://dekalbcounty.org/wp-content/uploads/2018/12/ord-2018-50.pdf."
3174,"Delaware County",2025,Expired,2022,2023,Local,IN,"Delaware County",18035,,Solar,"On February 22, 2022, the Delaware County Commissioners approved amendments to the County’s solar ordinance, including increasing the setback from neighboring property lines to 200 feet and classifying solar as a “special use” subject to public hearings and additional approvals. The County Commissioners also enacted a 1-year moratorium on solar farm development; in August 2023, the Commissioners extended this moratorium through the end of 2023. The amendments and moratorium followed intense local opposition to the proposed Meadow Forge solar project.","David Penticuff, Solar farms unplugged for a year in Delaware County as commissioners order moratorium, Muncie Star PRESS, Feb. 22, 2022, https://www.thestarpress.com/story/news/local/2022/02/22/delaware-county-adopts-year-long-moratorium-creation-solar-farms/6884982001/; David Penticuff, Meadow Forge solar farm hit with opposition from residents and Wes-Del Schools, Muncie Star Press, Jan. 3, 2022, https://www.thestarpress.com/story/news/local/2022/01/03/delaware-county-meadow-forge-solar-farm-fought-schools-neighbors/9079915002/; Stephanie Wiechmann, Delaware County Approves Year-Long Solar Projects Moratorium, WFYI, Feb. 22, 2022, https://www.wfyi.org/news/articles/delaware-county-approves-year-long-solar-projects-moratorium; Delaware County, Indiana Ordinance No. 2023-017 (Aug. 7, 2023), https://www.co.delaware.in.us/egov/documents/1691517246_39689.pdf"
3175,"Delta County",2025,Expired,2022,2023,Local,CO,"Delta County",08029,,Solar|Wind,"In September 2022, the Delta County Board of County Commissioners imposed a 6-month moratorium on applications for commercial-scale renewable energy facilities. The moratorium was later extended, and it was still in effect as of December 2023.","Joann K., Commissioners put moratorium on renewable energy projects, Delta County Citizen Report, Sept. 6, 2022, http://citizenreport.info/2022/09/commissioners-put-moratorium-on-renewable-energy-projects/; Renewable Energy Production – Colorado, USA Today, https://data.usatoday.com/renewable-energy-production/colorado/08/99905/ (last visited March 11, 2024)."
3176,"Douglas County",2025,"In effect",2024,2024,Local,KS,"Douglas County",20045,,Wind,"In response to NextEra Energy’s proposal to construct a wind farm, the Douglas County Commission issued a moratorium on wind farm development in December 2013, which lasted until April 2014. In 2022, Douglas County adopted a solar ordinance that limits cumulative solar farm acreage in the county to 1,000 acres and requires solar panels and arrays to be at least 500 feet from any existing residence. In May 2024, after a public hearing, the Commission voted to adopt new wind regulations that increased setbacks from property lines to 2,500 feet. About two-thirds of commenters at the public hearing expressed opposition to wind energy projects in the county, with some requesting a wind energy ban. Others argued that the regulations were excessive and that the setbacks would effectively prevent wind energy development. One frequent commenter was arrested on suspicion of interfering with the conduct of public business","Mackenzie Clark, Douglas County Commission approves revised wind energy regulations, The Lawrence Times, May 1, 2024, https://lawrencekstimes.com/2024/05/01/dgcocomm-vote-wind-regs/; Kansas Wind Energy Information Network, Proposed Kansas Wind Projects, http://www.kansasenergy.org/KS_wind_projects_case.htm (last visited Dec. 21, 2020); Douglas County, Kansas, Resolution No. 22-16 (May 4, 2022), https://www.jocogov.org/sites/default/files/files/2022-05/Douglas%20County%20Solar%20Regulations%20-%20FINAL.pdf."
3177,"Douglass Township (Montcalm County)",2025,"In effect",2023,2023,Local,MI,"Montcalm County",26117,"Douglass Township",Solar|Wind,"Douglass Township’s August 2023 solar ordinance establishes setbacks for industrial-scale solar of 500 feet from lot lines, 2,640 feet from wetlands, and 1 mile from lakes and the Flat River. The township’s June 2023 wind ordinance establishes a setback of from non-participating property lines of the greater of 5 times turbine height and 1,640 feet, along with a setback of 1,640 feet from inhabited structures on participating property. Noise on non-participating parcels is limited to between 30 dBa and 40 dBa, depending on time of day. Max blade tip height is limited to 350 feet, and shadow flicker on roads and non-participating parcels is prohibited.","Douglass Township, Michigan, Ordinance No. 2023-04 (Aug. 2, 2023), https://www.douglasstwp.org/_files/ugd/1e1050_abe933d0a3dd4f7dad27196ff831767e.pdf; Douglass Township, Michigan, Ordinance No. 2023-03 (June 7, 2023), https://www.douglasstwp.org/_files/ugd/1e1050_3a791d3803694871bc994ec5a53c9287.pdf."
3178,"Ellington Township (Tuscola County)",2025,"In effect",2016,2021,Local,MI,"Tuscola County",26157,"Ellington Township",Wind,"In April 2016, the Ellington Township Board of Trustees held a special meeting to vote on whether to enact a wind energy moratorium. By a unanimous vote, the board agreed to a 4-month moratorium on wind turbine development. The moratorium was supported by a group called Ellington-Almer Township Concerned Citizens, and it resulted in the delay of the Tuscola III wind farm.  The Ellington Township Zoning Ordinance, as amended July 2021, requires that wind turbines be set back by a distance of 5 times turbine height from property lines of non-participating parcels (i.e., 2,500 feet for a 500-foot turbine), and 3 times turbine height from any road. The ordinance further provides that noise shall not exceed 40 dBA at any time on a nonparticipating property and prohibits any shadow flicker on neighboring properties.","Andrew Dietdrich, Ellington township board enacts four-month moratorium on wind turbines, Tuscola Today, Aug. 10, 2016, http://www.tuscolatoday.com/index.php/2016/04/06/ellington-township-board-enacts-4-month-moratorium-on-wind-turbines/; Andrew Dietdrich, Ellington township board enacts four-month moratorium on wind turbines, TUSCOLA TODAY, Aug. 10, 2016, http://www.tuscolatoday.com/index.php/2016/04/06/ellington-township-board-enacts-4-month-moratorium-on-wind-turbines/; ELLINGTON TOWNSHIP, MICH., ZONING ORDINANCE § 5.02(M)(7) (July 2021), https://www.ellingtontownship.org/about.php."
3179,"Elmwood Township (Leelanau County)",2025,Expired,2016,2016,Local,MI,"Leelanau County",26089,"Elmwood Township",Wind,"In March 2016, Elmwood Township adopted a 12-month moratorium on wind energy development. At the town hall meeting, board officials said they would halt all construction of wind energy conversion systems to “protect the public health, safety, and welfare” of all Elmwood residents.","Tuscola Today Editor, Elmwood township enacts one year moratorium on wind turbines, Tuscola Today, Mar. 9, 2016, https://tuscolatoday.com/2016/03/09/elmwood-township-enacts-one-year-moratorium-on-wind-turbines-2/."
3180,"Emmet County",2025,"In effect",2024,2025,Local,IA,"Emmet County",19063,,Wind,"In October 2024, the Emmet County Board of Supervisors approved a temporary moratorium on construction permits for new wind energy projects through January 2025 to give the Board time to update the county’s wind ordinance. [Note: On January 28, 2025, the Board extended the moratorium for another six months.]","Emmet County officials to make changes in proposed wind energy ordinance, Radio Iowa, Oct. 25, 2024, https://www.radioiowa.com/2024/10/25/emmet-county-officials-to-make-changes-in-proposed-wind-energy-ordinance/; Emmet County, Iowa, Resolution 24-29: Moratorium on Wind Energy Applications, (adopted Oct. 2024), https://emmetcountyia.gov/wp-content/uploads/2024/10/24-29-Resolution-for-a-Moratorium-on-Wind-Energy-Applications.pdf; Supervisors extend wind farm moratorium, Estherville News, 2024, https://www.esthervillenews.net/stories/supervisors-extend-wind-farm-moratorium,115184."
3181,"Emmet County",2025,"In effect",2021,2021,Local,MI,"Emmet County",26047,,Wind,"Emmet County’s 2021 updated zoning ordinance limits commercial wind turbines to 400 feet in height and limits noise to 40 dBa.","Emmet County, Michigan, Zoning Ordinance (2021), https://www.emmetcounty.org/wp-content/uploads/2021/12/PZ_2021-updated-county-zoning-ordinance.pdf."
3182,"Erie County",2025,"In effect",2023,2023,Local,OH,"Erie County",39043,,Solar|Wind,"In July 2023, Erie County voted to prohibit new industrial-scale wind and solar farms in all unincorporated land in the county, along with offshore wind farms in Lake Erie.","Tom Jackson, Erie County votes to block new wind farms, big solar projects, Sandusky Register, July 27, 2023, https://sanduskyregister.com/news/471599/erie-county-votes-to-block-new-wind-farms-big-solar-projects/."
3183,"Etowah County",2025,"In effect",2014,2014,Local,AL,"Etowah County",01055,,Wind,"In 2014, the Alabama state legislature enacted S.B. 403, which established certain restrictions on wind power in Etowah County, including: (1) a noise limit of 40 decibels (dBA) at the nearest property line; and (2) a setback of at least 2,500 feet from the nearest property line.","Act No. 2014-191, S.B. 403 (Ala. Mar. 19, 2014) §§ 6(i)-(j), http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2014RS/PrintFiles/SB403-enr.pdf."
3184,"Fairfield County",2025,"In effect",2024,2024,Local,OH,"Fairfield County",39045,,Solar,"<strong>Fairfield County:</strong> In May 2024, the Fairfield County Commissioners adopted a resolution pursuant to S.B. 52 prohibiting solar farms with a capacity of at least 50 MW within certain restricted areas. Commissioner Jeff Fix stated that the decision reflected an attempt to balance the rights of property owners with the rights of their neighbors. The regulation created uncertainty about the fate of two proposals for solar projects in the county.","Aaron Burd, Why some Ohio counties are restricting solar energy farms, NBC4, May 30, 2024, https://www.nbc4i.com/news/local-news/fairfield-county/why-some-ohio-counties-are-restricting-solar-energy-farms/."
